Season,Date,Match,Bet,Odds,P_model,EV,Flat_Stake,Kelly_Stake,Won,Flat_Profit,Kelly_Profit,Flat_Bankroll,Kelly_Bankroll
2015,2015-08-15,FC Augsburg vs Hertha BSC,H,2.0,0.555,0.11,10.0,5.51,False,-10.0,-5.51,990.0,994.49
2015,2015-08-15,Bayer Leverkusen vs TSG Hoffenheim,H,1.5,0.738,0.107,10.0,10.74,True,5.0,5.37,995.0,999.86
2015,2015-08-15,Werder Bremen vs FC Schalke 04,H,3.0,0.432,0.295,10.0,7.36,False,-10.0,-7.36,985.0,992.5
2015,2015-08-23,Borussia Monchengladbach vs FSV Mainz 05,H,1.67,0.649,0.083,10.0,6.23,False,-10.0,-6.23,975.0,986.27
2015,2015-08-28,VfL Wolfsburg vs FC Schalke 04,H,2.0,0.719,0.438,10.0,21.88,True,10.0,21.88,985.0,1008.15
2015,2015-08-29,FSV Mainz 05 vs Hannover 96,H,2.0,0.603,0.206,10.0,10.32,True,10.0,10.32,995.0,1018.47
2015,2015-08-29,SV Darmstadt 98 vs TSG Hoffenheim,H,3.0,0.408,0.223,10.0,5.58,False,-10.0,-5.58,985.0,1012.89
2015,2015-08-30,Werder Bremen vs Borussia Monchengladbach,H,3.2,0.351,0.122,10.0,2.78,True,22.0,6.12,1007.0,1019.01
2015,2015-09-11,Borussia Monchengladbach vs Hamburg,H,1.67,0.735,0.227,10.0,16.95,False,-10.0,-16.95,997.0,1002.06
2015,2015-09-13,FC Schalke 04 vs FSV Mainz 05,H,1.85,0.644,0.191,10.0,11.24,True,8.5,9.56,1005.5,1011.62
2015,2015-09-19,VfL Wolfsburg vs Hertha BSC,H,1.5,0.743,0.115,10.0,11.52,True,5.0,5.76,1010.5,1017.38
2015,2015-09-19,Werder Bremen vs Ingolstadt,H,2.05,0.567,0.163,10.0,7.74,False,-10.0,-7.74,1000.5,1009.64
2015,2015-09-20,VfB Stuttgart vs FC Schalke 04,H,2.63,0.404,0.063,10.0,1.93,False,-10.0,-1.93,990.5,1007.71
2015,2015-09-22,SV Darmstadt 98 vs Werder Bremen,H,2.63,0.453,0.193,10.0,5.91,True,16.3,9.63,1006.8,1017.34
2015,2015-09-22,Ingolstadt vs Hamburg,H,2.3,0.576,0.326,10.0,12.52,False,-10.0,-12.52,996.8,1004.82
2015,2015-09-23,FC Schalke 04 vs Ein Frankfurt,H,1.83,0.643,0.177,10.0,10.65,True,8.3,8.84,1005.1,1013.66
2015,2015-09-23,Hannover 96 vs VfB Stuttgart,H,2.88,0.388,0.117,10.0,3.12,False,-10.0,-3.12,995.1,1010.54
2015,2015-09-23,Borussia Monchengladbach vs FC Augsburg,H,2.15,0.575,0.237,10.0,10.29,True,11.5,11.84,1006.6,1022.38
2015,2015-09-26,Werder Bremen vs Bayer Leverkusen,H,3.8,0.379,0.44,10.0,7.86,False,-10.0,-7.86,996.6,1014.52
2015,2015-10-02,SV Darmstadt 98 vs FSV Mainz 05,H,3.1,0.478,0.48,10.0,11.44,False,-10.0,-11.44,986.6,1003.08
2015,2015-10-03,Ingolstadt vs Ein Frankfurt,H,2.5,0.466,0.164,10.0,5.47,True,15.0,8.21,1001.6,1011.29
2015,2015-10-03,Hannover 96 vs Werder Bremen,H,2.6,0.425,0.106,10.0,3.3,True,16.0,5.29,1017.6,1016.58
2015,2015-10-03,Borussia Monchengladbach vs VfL Wolfsburg,H,2.6,0.479,0.245,10.0,7.67,True,16.0,12.27,1033.6,1028.85
2015,2015-10-04,FC Schalke 04 vs FC Cologne,H,1.73,0.656,0.135,10.0,9.25,False,-10.0,-9.25,1023.6,1019.6
2015,2015-10-17,VfL Wolfsburg vs TSG Hoffenheim,H,1.62,0.715,0.158,10.0,12.72,True,6.2,7.88,1029.8,1027.48
2015,2015-10-18,FC Cologne vs Hannover 96,H,1.95,0.581,0.133,10.0,7.02,False,-10.0,-7.02,1019.8,1020.46
2015,2015-10-24,Ingolstadt vs Hertha BSC,H,2.4,0.442,0.06,10.0,2.15,False,-10.0,-2.15,1009.8,1018.31
2015,2015-10-24,FSV Mainz 05 vs Werder Bremen,H,2.05,0.525,0.076,10.0,3.62,False,-10.0,-3.62,999.8,1014.69
2015,2015-10-31,FC Schalke 04 vs Ingolstadt,H,1.8,0.705,0.269,10.0,16.84,False,-10.0,-16.84,989.8,997.85
2015,2015-10-31,VfL Wolfsburg vs Bayer Leverkusen,H,2.63,0.484,0.272,10.0,8.34,True,16.3,13.6,1006.1,1011.45
2015,2015-11-06,Hannover 96 vs Hertha BSC,H,2.63,0.417,0.097,10.0,2.99,False,-10.0,-2.99,996.1,1008.46
2015,2015-11-07,SV Darmstadt 98 vs Hamburg,H,2.75,0.471,0.296,10.0,8.46,False,-10.0,-8.46,986.1,1000.0
2015,2015-11-07,Borussia Monchengladbach vs Ingolstadt,H,1.62,0.717,0.162,10.0,13.05,False,-10.0,-13.05,976.1,986.95
2015,2015-11-21,Borussia Monchengladbach vs Hannover 96,H,1.5,0.798,0.197,10.0,19.69,True,5.0,9.85,981.1,996.8
2015,2015-11-21,Ein Frankfurt vs Bayer Leverkusen,H,3.8,0.347,0.317,10.0,5.66,False,-10.0,-5.66,971.1,991.14
2015,2015-11-27,SV Darmstadt 98 vs FC Cologne,H,2.9,0.428,0.24,10.0,6.33,False,-10.0,-6.33,961.1,984.81
2015,2015-11-28,Hannover 96 vs Ingolstadt,H,2.6,0.417,0.085,10.0,2.65,True,16.0,4.25,977.1,989.06
2015,2015-11-28,FSV Mainz 05 vs Ein Frankfurt,H,2.2,0.49,0.078,10.0,3.24,True,12.0,3.89,989.1,992.95
2015,2015-11-29,Bayer Leverkusen vs FC Schalke 04,H,1.62,0.69,0.117,10.0,9.47,False,-10.0,-9.47,979.1,983.48
2015,2015-12-05,Hertha BSC vs Bayer Leverkusen,H,3.75,0.323,0.209,10.0,3.81,True,27.5,10.47,1006.6,993.95
2015,2015-12-05,VfL Wolfsburg vs Borussia Dortmund,H,4.0,0.425,0.701,10.0,11.68,False,-10.0,-11.68,996.6,982.27
2015,2015-12-05,Ingolstadt vs TSG Hoffenheim,H,2.25,0.499,0.123,10.0,4.92,False,-10.0,-4.92,986.6,977.35
2015,2015-12-11,FSV Mainz 05 vs VfB Stuttgart,H,2.05,0.635,0.302,10.0,14.37,False,-10.0,-14.37,976.6,962.98
2015,2015-12-12,SV Darmstadt 98 vs Hertha BSC,H,3.1,0.427,0.325,10.0,7.73,False,-10.0,-7.73,966.6,955.25
2015,2015-12-12,VfL Wolfsburg vs Hamburg,H,1.57,0.798,0.253,10.0,22.17,False,-10.0,-22.17,956.6,933.08
2015,2015-12-13,FC Augsburg vs FC Schalke 04,H,2.63,0.428,0.126,10.0,3.85,True,16.3,6.28,972.9,939.36
2015,2016-01-23,FC Cologne vs VfB Stuttgart,H,2.15,0.589,0.266,10.0,11.58,False,-10.0,-11.58,962.9,927.78
2015,2016-01-23,Borussia Monchengladbach vs Borussia Dortmund,H,4.5,0.542,1.438,10.0,20.54,False,-10.0,-20.54,952.9,907.24
2015,2016-01-23,TSG Hoffenheim vs Bayer Leverkusen,H,4.33,0.28,0.213,10.0,3.19,False,-10.0,-3.19,942.9,904.05
2015,2016-01-29,FSV Mainz 05 vs Borussia Monchengladbach,H,2.6,0.41,0.066,10.0,2.06,True,16.0,3.29,958.9,907.34
2015,2016-01-30,SV Darmstadt 98 vs FC Schalke 04,H,3.4,0.382,0.3,10.0,6.24,False,-10.0,-6.24,948.9,901.1
2015,2016-01-30,FC Augsburg vs Ein Frankfurt,H,1.95,0.601,0.172,10.0,9.04,False,-10.0,-9.04,938.9,892.0600000000001
2015,2016-02-06,FC Schalke 04 vs VfL Wolfsburg,H,2.45,0.443,0.086,10.0,2.97,True,14.5,4.31,953.4,896.37
2015,2016-02-06,Ein Frankfurt vs VfB Stuttgart,H,2.7,0.4,0.079,10.0,2.31,False,-10.0,-2.31,943.4,894.0600000000001
2015,2016-02-06,Hannover 96 vs FSV Mainz 05,H,2.75,0.432,0.187,10.0,5.33,False,-10.0,-5.33,933.4,888.73
2015,2016-02-12,FSV Mainz 05 vs FC Schalke 04,H,2.9,0.435,0.262,10.0,6.89,True,19.0,13.09,952.4,901.82
2015,2016-02-13,VfL Wolfsburg vs Ingolstadt,H,1.73,0.743,0.285,10.0,19.53,True,7.3,14.25,959.7,916.07
2015,2016-02-20,Borussia Monchengladbach vs FC Cologne,H,1.91,0.576,0.1,10.0,5.5,True,9.1,5.0,968.8,921.07
2015,2016-02-20,Hertha BSC vs VfL Wolfsburg,H,2.75,0.439,0.206,10.0,5.9,False,-10.0,-5.9,958.8,915.1700000000001
2015,2016-02-21,Bayer Leverkusen vs Borussia Dortmund,H,3.4,0.484,0.644,10.0,13.42,False,-10.0,-13.42,948.8,901.75
2015,2016-02-27,Hamburg vs Ingolstadt,H,2.4,0.445,0.068,10.0,2.42,False,-10.0,-2.42,938.8,899.33
2015,2016-02-28,Ein Frankfurt vs FC Schalke 04,H,3.2,0.38,0.216,10.0,4.91,False,-10.0,-4.91,928.8,894.4200000000001
2015,2016-02-28,FSV Mainz 05 vs Bayer Leverkusen,H,3.75,0.425,0.595,10.0,10.82,True,27.5,29.77,956.3,924.19
2015,2016-03-01,Ingolstadt vs FC Cologne,H,2.5,0.438,0.096,10.0,3.19,False,-10.0,-3.19,946.3,921.0
2015,2016-03-01,Hannover 96 vs VfL Wolfsburg,H,4.2,0.408,0.715,10.0,11.18,False,-10.0,-11.18,936.3,909.82
2015,2016-03-02,Borussia Monchengladbach vs VfB Stuttgart,H,2.05,0.521,0.068,10.0,3.26,True,10.5,3.42,946.8,913.24
2015,2016-03-05,Borussia Dortmund vs Bayern Munich,H,3.1,0.4,0.239,10.0,5.69,False,-10.0,-5.69,936.8,907.5500000000001
2015,2016-03-05,FC Augsburg vs Bayer Leverkusen,H,2.9,0.419,0.216,10.0,5.68,False,-10.0,-5.68,926.8,901.87
2015,2016-03-06,Hamburg vs Hertha BSC,H,2.88,0.421,0.213,10.0,5.66,True,18.8,10.64,945.6,912.51
2015,2016-03-06,FSV Mainz 05 vs SV Darmstadt 98,H,1.75,0.644,0.126,10.0,8.43,False,-10.0,-8.43,935.6,904.08
2015,2016-03-11,Hertha BSC vs FC Schalke 04,H,2.4,0.485,0.165,10.0,5.9,True,14.0,8.26,949.6,912.34
2015,2016-03-12,Ingolstadt vs VfB Stuttgart,H,3.0,0.407,0.22,10.0,5.5,False,-10.0,-5.5,939.6,906.84
2015,2016-03-12,Hannover 96 vs FC Cologne,H,3.5,0.425,0.489,10.0,9.77,False,-10.0,-9.77,929.6,897.07
2015,2016-03-12,SV Darmstadt 98 vs FC Augsburg,H,2.8,0.423,0.185,10.0,5.15,False,-10.0,-5.15,919.6,891.9200000000001
2015,2016-03-13,Bayer Leverkusen vs Hamburg,H,1.67,0.673,0.124,10.0,9.25,True,6.7,6.2,926.3,898.12
2015,2016-03-19,Hertha BSC vs Ingolstadt,H,2.05,0.643,0.317,10.0,15.11,True,10.5,15.87,936.8,913.99
2015,2016-04-02,FSV Mainz 05 vs FC Augsburg,H,2.1,0.531,0.115,10.0,5.24,True,11.0,5.77,947.8,919.76
