Season,Train,N_Bets,Hit_Rate,Yield_Flat,Yield_Kelly,Flat_PnL,Kelly_PnL
2015,"[2010, 2011, 2012, 2013, 2014]",101,0.40594059405940597,-0.0723762376237624,-0.11370689555717071,-73.10000000000002,-98.56000000000002
2016,"[2010, 2011, 2012, 2013, 2014, 2015]",103,0.5242718446601942,0.35135922330097086,0.2795861071266566,361.9,228.05
2017,"[2010, 2011, 2012, 2013, 2014, 2015, 2016]",112,0.4017857142857143,0.0013392857142857015,0.06300892794234585,1.4999999999999858,62.60000000000002
2018,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",97,0.36082474226804123,-0.06958762886597938,-0.08349831140095497,-67.5,-64.53000000000003
2019,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",100,0.34,-0.0816,-0.026852312282446545,-81.60000000000001,-17.28
2020,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",103,0.32038834951456313,-0.10883495145631068,-0.029730223152218196,-112.10000000000001,-21.17000000000001
2021,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",117,0.4017094017094017,0.1517094017094017,0.2230198391173382,177.5,193.24
2022,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",115,0.4956521739130435,0.22747826086956519,0.22085681927648107,261.59999999999997,169.66
2023,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",104,0.3173076923076923,-0.2382692307692308,-0.2563917415489944,-247.8,-191.74
2024,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",91,0.26373626373626374,-0.300989010989011,-0.2636575071065553,-273.9,-153.04
2025,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",32,0.15625,-0.5546875,-0.7718515645203,-177.5,-119.39000000000001
