Season,Date,Match,Bet,Odds,P_model,EV,Flat_Stake,Kelly_Stake,Won,Flat_Profit,Kelly_Profit,Flat_Bankroll,Kelly_Bankroll
2015,2015-08-15,FC Augsburg vs Hertha BSC,H,2.0,0.559,0.118,10.0,5.91,False,-10.0,-5.91,990.0,994.09
2015,2015-08-15,Bayer Leverkusen vs TSG Hoffenheim,H,1.5,0.717,0.076,10.0,7.59,True,5.0,3.79,995.0,997.88
2015,2015-08-15,Werder Bremen vs FC Schalke 04,H,3.0,0.431,0.294,10.0,7.35,False,-10.0,-7.35,985.0,990.53
2015,2015-08-23,Borussia Monchengladbach vs FSV Mainz 05,H,1.67,0.658,0.099,10.0,7.37,False,-10.0,-7.37,975.0,983.16
2015,2015-08-28,VfL Wolfsburg vs FC Schalke 04,H,2.0,0.714,0.429,10.0,21.44,True,10.0,21.44,985.0,1004.6
2015,2015-08-29,FSV Mainz 05 vs Hannover 96,H,2.0,0.545,0.089,10.0,4.46,True,10.0,4.46,995.0,1009.06
2015,2015-08-29,SV Darmstadt 98 vs TSG Hoffenheim,H,3.0,0.409,0.226,10.0,5.64,False,-10.0,-5.64,985.0,1003.42
2015,2015-08-30,Werder Bremen vs Borussia Monchengladbach,H,3.2,0.35,0.119,10.0,2.7,True,22.0,5.95,1007.0,1009.37
2015,2015-09-11,Borussia Monchengladbach vs Hamburg,H,1.67,0.72,0.203,10.0,15.11,False,-10.0,-15.11,997.0,994.26
2015,2015-09-13,FC Schalke 04 vs FSV Mainz 05,H,1.85,0.588,0.088,10.0,5.15,True,8.5,4.38,1005.5,998.64
2015,2015-09-19,Werder Bremen vs Ingolstadt,H,2.05,0.553,0.133,10.0,6.33,False,-10.0,-6.33,995.5,992.3100000000001
2015,2015-09-20,VfB Stuttgart vs FC Schalke 04,H,2.63,0.418,0.098,10.0,3.01,False,-10.0,-3.01,985.5,989.3
2015,2015-09-22,SV Darmstadt 98 vs Werder Bremen,H,2.63,0.47,0.235,10.0,7.21,True,16.3,11.75,1001.8,1001.05
2015,2015-09-22,Ingolstadt vs Hamburg,H,2.3,0.579,0.332,10.0,12.76,False,-10.0,-12.76,991.8,988.29
2015,2015-09-23,FC Schalke 04 vs Ein Frankfurt,H,1.83,0.638,0.167,10.0,10.06,True,8.3,8.35,1000.1,996.64
2015,2015-09-23,Borussia Monchengladbach vs FC Augsburg,H,2.15,0.559,0.202,10.0,8.79,True,11.5,10.11,1011.6,1006.75
2015,2015-09-23,Hannover 96 vs VfB Stuttgart,H,2.88,0.377,0.085,10.0,2.25,False,-10.0,-2.25,1001.6,1004.5
2015,2015-09-26,Werder Bremen vs Bayer Leverkusen,H,3.8,0.382,0.453,10.0,8.1,False,-10.0,-8.1,991.6,996.4
2015,2015-09-26,Hamburg vs FC Schalke 04,H,2.88,0.376,0.082,10.0,2.17,False,-10.0,-2.17,981.6,994.23
2015,2015-10-02,SV Darmstadt 98 vs FSV Mainz 05,H,3.1,0.484,0.501,10.0,11.92,False,-10.0,-11.92,971.6,982.31
2015,2015-10-03,Ingolstadt vs Ein Frankfurt,H,2.5,0.462,0.156,10.0,5.2,True,15.0,7.81,986.6,990.12
2015,2015-10-03,Hannover 96 vs Werder Bremen,H,2.6,0.419,0.088,10.0,2.76,True,16.0,4.42,1002.6,994.54
2015,2015-10-03,Borussia Monchengladbach vs VfL Wolfsburg,H,2.6,0.465,0.21,10.0,6.56,True,16.0,10.5,1018.6,1005.04
2015,2015-10-04,FC Schalke 04 vs FC Cologne,H,1.73,0.656,0.134,10.0,9.19,False,-10.0,-9.19,1008.6,995.85
2015,2015-10-17,VfL Wolfsburg vs TSG Hoffenheim,H,1.62,0.691,0.12,10.0,9.67,True,6.2,5.99,1014.8,1001.84
2015,2015-10-18,FC Cologne vs Hannover 96,H,1.95,0.583,0.137,10.0,7.2,False,-10.0,-7.2,1004.8,994.64
2015,2015-10-24,Ingolstadt vs Hertha BSC,H,2.4,0.462,0.108,10.0,3.87,False,-10.0,-3.87,994.8,990.77
2015,2015-10-24,FSV Mainz 05 vs Werder Bremen,H,2.05,0.524,0.074,10.0,3.51,False,-10.0,-3.51,984.8,987.26
2015,2015-10-31,FC Schalke 04 vs Ingolstadt,H,1.8,0.645,0.161,10.0,10.06,False,-10.0,-10.06,974.8,977.2
2015,2015-10-31,VfL Wolfsburg vs Bayer Leverkusen,H,2.63,0.458,0.204,10.0,6.24,True,16.3,10.18,991.1,987.38
2015,2015-11-06,Hannover 96 vs Hertha BSC,H,2.63,0.422,0.111,10.0,3.4,False,-10.0,-3.4,981.1,983.98
2015,2015-11-07,SV Darmstadt 98 vs Hamburg,H,2.75,0.443,0.217,10.0,6.21,False,-10.0,-6.21,971.1,977.77
2015,2015-11-07,Borussia Monchengladbach vs Ingolstadt,H,1.62,0.702,0.137,10.0,11.01,False,-10.0,-11.01,961.1,966.76
2015,2015-11-21,Ein Frankfurt vs Bayer Leverkusen,H,3.8,0.368,0.398,10.0,7.1,False,-10.0,-7.1,951.1,959.66
2015,2015-11-21,Borussia Monchengladbach vs Hannover 96,H,1.5,0.777,0.166,10.0,16.58,True,5.0,8.29,956.1,967.95
2015,2015-11-27,SV Darmstadt 98 vs FC Cologne,H,2.9,0.424,0.231,10.0,6.07,False,-10.0,-6.07,946.1,961.88
2015,2015-11-28,Hannover 96 vs Ingolstadt,H,2.6,0.419,0.088,10.0,2.76,True,16.0,4.42,962.1,966.3
2015,2015-11-28,FSV Mainz 05 vs Ein Frankfurt,H,2.2,0.484,0.065,10.0,2.71,True,12.0,3.25,974.1,969.55
2015,2015-11-29,Bayer Leverkusen vs FC Schalke 04,H,1.62,0.656,0.062,10.0,5.01,False,-10.0,-5.01,964.1,964.54
2015,2015-12-05,Hertha BSC vs Bayer Leverkusen,H,3.75,0.329,0.235,10.0,4.28,True,27.5,11.76,991.6,976.3
2015,2015-12-05,VfL Wolfsburg vs Borussia Dortmund,H,4.0,0.438,0.751,10.0,12.52,False,-10.0,-12.52,981.6,963.78
