Date,Season,HomeTeam,AwayTeam,FTR,Target,B365H,B365D,B365A,Home_Elo_Calc,Away_Elo_Calc,Elo_Diff,Home_Market_Value,Away_Market_Value,Log_Value_Diff,Diff_FIFA_Ova,Diff_FIFA_Mid,Diff_FIFA_Def,Diff_FIFA_Att,Home_Streak_L5,Away_Streak_L5,Home_H2H_L3,Away_H2H_L3
2010-08-28,2010,Levante,Sevilla,A,0,3.6,3.5,2.0,1500.0,1500.0,0.0,37.4,175.6,-1.5258298285761782,-4,-3,4,4,0,0,1.5,1.5
2010-08-28,2010,Malaga,Valencia,A,0,2.88,3.3,2.4,1500.0,1500.0,0.0,58.6,176.6,-1.0918782564867655,-5,-1,0,2,0,0,1.5,1.5
2010-08-28,2010,Hercules,Ath Bilbao,A,0,2.5,3.25,2.8,1500.0,1500.0,0.0,51.7,10.0,1.5667201827489459,0,5,5,9,0,0,1.5,1.5
2010-08-29,2010,Espanol,Getafe,H,2,2.1,3.3,3.5,1500.0,1500.0,0.0,78.4,66.4,0.16385335033482917,0,-5,-8,1,0,0,1.5,1.5
2010-08-29,2010,La Coruna,Zaragoza,D,1,2.1,3.3,3.5,1500.0,1500.0,0.0,63.7,87.25,-0.3104124943065507,1,-4,-6,-6,0,0,1.5,1.5
2010-08-29,2010,Mallorca,Real Madrid,D,1,8.0,4.75,1.36,1500.0,1500.0,0.0,65.1,519.0,-2.062660064717832,-8,-9,2,4,0,0,1.5,1.5
2010-08-29,2010,Osasuna,Almeria,D,1,2.0,3.4,3.75,1500.0,1500.0,0.0,60.0,63.7,-0.05888733733354368,0,0,0,0,0,0,1.5,1.5
2010-08-29,2010,Santander,Barcelona,A,0,15.0,6.0,1.2,1500.0,1500.0,0.0,65.5,604.7,-2.2091828663250936,-9,-7,-7,0,0,0,1.5,1.5
2010-08-29,2010,Sociedad,Villarreal,H,2,3.0,3.25,2.38,1500.0,1500.0,0.0,66.7,170.6,-0.9300800071356328,-3,0,1,-3,0,0,1.5,1.5
2010-08-30,2010,Ath Madrid,Sp Gijon,H,2,1.53,4.0,6.0,1500.0,1500.0,0.0,210.8,10.0,2.9577471603689354,0,0,0,0,0,0,1.5,1.5
