Threshold  | Bets  | Win Rate   | Profit     | ROI       
0.00       | 359   | 34.3     % | -47.80   u | -13.31   %
0.01       | 352   | 34.4     % | -46.16   u | -13.11   %
0.02       | 342   | 33.9     % | -47.98   u | -14.03   %
0.03       | 335   | 34.3     % | -45.73   u | -13.65   %
0.04       | 333   | 34.2     % | -45.46   u | -13.65   %
0.05       | 322   | 34.2     % | -43.01   u | -13.36   %
0.06       | 305   | 34.1     % | -39.58   u | -12.98   %
0.07       | 299   | 33.1     % | -44.08   u | -14.74   %
0.08       | 289   | 32.5     % | -46.37   u | -16.04   %
0.09       | 279   | 31.5     % | -46.27   u | -16.58   %
0.10       | 269   | 30.9     % | -44.14   u | -16.41   %
0.11       | 258   | 30.2     % | -42.42   u | -16.44   %
0.12       | 242   | 29.3     % | -41.14   u | -17.00   %
0.13       | 236   | 29.7     % | -37.24   u | -15.78   %
0.14       | 230   | 29.1     % | -36.04   u | -15.67   %
0.15       | 221   | 29.4     % | -31.81   u | -14.39   %
