Bet,Odds Bucket,Profit,Bets,Win Rate,ROI
A,1.0 - 1.5,-2.58,4,25.0,-64.5
A,1.5 - 2.0,1.7600000000000002,8,75.0,22.000000000000004
A,2.0 - 2.5,3.38,12,58.333333333333336,28.166666666666668
A,2.5 - 3.0,2.71,11,45.45454545454545,24.636363636363637
A,3.0 - 4.0,-7.2,22,18.181818181818183,-32.72727272727273
A,4.0 +,-31.5,47,6.382978723404255,-67.02127659574468
D,2.5 - 3.0,0.8999999999999999,2,50.0,44.99999999999999
D,3.0 - 4.0,0.8500000000000001,50,30.0,1.7000000000000002
D,4.0 +,1.7800000000000002,22,22.727272727272727,8.090909090909092
H,1.0 - 1.5,4.97,20,95.0,24.85
H,1.5 - 2.0,1.15,30,60.0,3.833333333333333
H,2.0 - 2.5,-4.25,33,39.39393939393939,-12.878787878787879
H,2.5 - 3.0,-4.430000000000001,21,28.57142857142857,-21.0952380952381
H,3.0 - 4.0,-7.8,20,20.0,-39.0
H,4.0 +,-2.75,20,15.0,-13.750000000000002
