Date,Match,Bet,Odds_B365,Odds_Exchange,P_model,P_implied,Edge_Abs,Won,Flat_Profit,Bankroll,Month
2025-01-11,Sevilla FC vs Valencia CF,H,4.0,3.66,0.563,0.273,0.29,False,-10.0,990.0,Jan
2025-01-11,RCD Espanyol vs CD Leganes,H,4.0,3.66,0.472,0.273,0.199,False,-10.0,980.0,Jan
2025-01-11,Real Valladolid CF vs Real Betis,A,4.5,4.12,0.417,0.243,0.174,False,-10.0,970.0,Jan
2025-01-12,UD Las Palmas vs Getafe CF,H,3.3,3.02,0.645,0.331,0.314,False,-10.0,960.0,Jan
2025-01-13,Real Sociedad vs Villarreal CF,H,4.0,3.66,0.445,0.273,0.173,True,26.64,986.64,Jan
2025-01-17,RCD Espanyol vs Real Valladolid CF,H,5.25,4.81,0.377,0.208,0.169,True,38.08,1024.72,Jan
2025-01-18,Girona FC vs Sevilla FC,H,4.0,3.66,0.586,0.273,0.313,False,-10.0,1014.72,Jan
2025-01-18,Real Betis vs Alaves,H,4.75,4.35,0.626,0.23,0.396,False,-10.0,1004.72,Jan
2025-01-18,Getafe CF vs FC Barcelona,A,6.5,5.95,0.515,0.168,0.347,False,-10.0,994.72,Jan
2025-01-19,Celta Vigo vs Athletic Club,A,2.8,2.56,0.573,0.39,0.183,True,15.64,1010.36,Jan
2025-01-20,Villarreal CF vs RCD Mallorca,H,5.25,4.81,0.524,0.208,0.316,True,38.08,1048.44,Jan
2025-01-24,UD Las Palmas vs CA Osasuna,H,3.0,2.75,0.483,0.364,0.119,False,-10.0,1038.44,Jan
2025-01-25,Sevilla FC vs RCD Espanyol,H,4.75,4.35,0.683,0.23,0.453,False,-10.0,1028.44,Jan
2025-01-25,Ath Madrid vs Villarreal CF,H,4.75,4.35,0.66,0.23,0.43,False,-10.0,1018.44,Jan
2025-01-26,Rayo Vallecano vs Girona FC,H,2.88,2.64,0.498,0.379,0.119,True,16.38,1034.82,Jan
2025-01-26,Real Sociedad vs Getafe CF,H,5.5,5.04,0.547,0.199,0.348,False,-10.0,1024.82,Jan
2025-01-27,Alaves vs Celta Vigo,H,3.0,2.75,0.49,0.364,0.126,False,-10.0,1014.8199999999999,Jan
2025-02-01,Getafe CF vs Sevilla FC,H,3.25,2.98,0.45,0.336,0.114,False,-10.0,1004.8199999999999,Feb
2025-02-02,Valencia CF vs Celta Vigo,H,3.25,2.98,0.474,0.336,0.138,True,19.77,1024.59,Feb
2025-02-02,Real Betis vs Athletic Club,A,2.9,2.66,0.504,0.376,0.128,False,-10.0,1014.59,Feb
2025-02-03,Girona FC vs UD Las Palmas,H,5.0,4.58,0.492,0.218,0.274,True,35.79,1050.38,Feb
2025-02-08,Athletic Club vs Girona FC,H,5.0,4.58,0.811,0.218,0.592,True,35.79,1086.17,Feb
2025-02-08,Real Madrid vs Ath Madrid,H,4.2,3.85,0.667,0.26,0.407,False,-10.0,1076.17,Feb
2025-02-08,UD Las Palmas vs Villarreal CF,A,4.75,4.35,0.478,0.23,0.248,True,33.5,1109.67,Feb
2025-02-09,Valencia CF vs CD Leganes,H,5.5,5.04,0.365,0.199,0.167,True,40.37,1150.04,Feb
2025-02-09,Sevilla FC vs FC Barcelona,A,5.25,4.81,0.487,0.208,0.279,True,38.08,1188.12,Feb
2025-02-09,Real Sociedad vs RCD Espanyol,H,5.75,5.27,0.414,0.19,0.224,True,42.66,1230.78,Feb
2025-02-10,RCD Mallorca vs CA Osasuna,H,4.33,3.97,0.356,0.252,0.104,False,-10.0,1220.78,Feb
2025-02-14,Girona FC vs Getafe CF,H,4.33,3.97,0.411,0.252,0.159,False,-10.0,1210.78,Feb
2025-02-15,CA Osasuna vs Real Madrid,A,5.75,5.27,0.691,0.19,0.501,False,-10.0,1200.78,Feb
2025-02-15,Villarreal CF vs Valencia CF,H,5.5,5.04,0.657,0.199,0.458,False,-10.0,1190.78,Feb
2025-02-16,RCD Mallorca vs UD Las Palmas,H,5.25,4.81,0.453,0.208,0.246,True,38.08,1228.8600000000001,Feb
2025-02-16,Real Valladolid CF vs Sevilla FC,A,4.0,3.66,0.409,0.273,0.136,True,26.64,1255.5,Feb
2025-02-16,RCD Espanyol vs Athletic Club,A,5.5,5.04,0.582,0.199,0.383,False,-10.0,1245.5,Feb
2025-02-21,Celta Vigo vs CA Osasuna,H,5.25,4.81,0.429,0.208,0.221,True,38.08,1283.58,Feb
2025-02-22,Valencia CF vs Ath Madrid,A,4.2,3.85,0.396,0.26,0.136,True,28.47,1312.05,Feb
2025-02-22,Alaves vs RCD Espanyol,H,5.25,4.81,0.382,0.208,0.174,False,-10.0,1302.05,Feb
