Season,Train_N,Train_M,Accuracy,LogLoss,Brier,N_Bets,Hit_Rate,Flat_ROI,Kelly_ROI,Flat_PnL,Kelly_PnL
2012,2,760,0.531578947368421,1.1442933098388461,0.2211824006212642,65,0.5846153846153846,0.2593846153846154,0.3498075462686833,168.6,698.6179223365955
2013,3,1140,0.5078947368421053,1.0018111083304948,0.2190758860080625,16,0.4375,-0.066875,-0.07693535381142151,-10.700000000000001,-43.339199041304234
2014,4,1520,0.5342105263157895,1.0428540904749855,0.2049879653384968,15,0.4,-0.15666666666666668,-0.12830467941404938,-23.5,-56.7939437937191
2015,5,1900,0.5263157894736842,0.9664687705837279,0.2136865210741738,15,0.4,-0.254,-0.3502143990139812,-38.1,-200.79627063570985
2016,5,1900,0.5552631578947368,1.0445199360535977,0.21394650335031368,15,0.3333333333333333,-0.2653333333333333,-0.19887618805039228,-39.8,-96.87887132327273
2017,5,1900,0.5236842105263158,0.9837021194643691,0.2231513213865819,39,0.6153846153846154,0.25102564102564107,0.20905080627580577,97.9,234.12896005984499
2018,5,1900,0.45789473684210524,1.0268449009619565,0.22709490286456396,37,0.4594594594594595,-0.1191891891891892,-0.18569647692605545,-44.10000000000001,-237.04530580809575
2019,5,1900,0.45263157894736844,1.0164917595275222,0.22737222353467393,29,0.4482758620689655,-0.11689655172413793,-0.039286484366211905,-33.9,-36.74966681079712
2020,5,1900,0.4842105263157895,1.0356517872718431,0.22126601254570874,34,0.6470588235294118,0.13,0.14170883125924347,44.2,181.68278585933487
2021,5,1900,0.48947368421052634,1.1093549542926844,0.22069498573637406,45,0.5333333333333333,-0.03999999999999999,-0.08463065291804352,-17.999999999999993,-135.41258464930854
2022,5,1900,0.5473684210526316,1.0043295852055556,0.2358159470102657,15,0.4666666666666667,-0.12866666666666665,-0.1626197595270103,-19.299999999999997,-91.39312032532023
2023,5,1900,0.5052631578947369,1.007689185835465,0.21876066755758938,15,0.4,-0.18866666666666665,-0.2944200250586339,-28.299999999999997,-155.80558847412482
2024,5,1900,0.5186915887850467,1.0044736380523343,0.2181330974886038,27,0.5185185185185185,0.10851851851851851,0.10862308633809925,29.299999999999997,85.38928548121312
