Season,Date,Match,Bet,Odds,P_model,EV,Flat_Stake,Kelly_Stake,Won,Flat_Profit,Kelly_Profit,Flat_Bankroll,Kelly_Bankroll
2015,2015-08-08,Bournemouth vs Aston Villa,D,3.6,0.327,0.176,10.0,16.91,False,-10.0,-16.91,990.0,983.09
2015,2015-08-08,Manchester United vs Tottenham,H,6.0,0.559,2.354,10.0,50.0,True,50.0,250.0,1040.0,1233.09
2015,2015-08-08,Leicester City vs Sunderland,H,4.33,0.46,0.993,10.0,50.0,True,33.3,166.5,1073.3,1399.5900000000001
2015,2015-08-08,Leicester City vs Sunderland,D,3.5,0.314,0.1,10.0,10.0,False,-10.0,-10.0,1063.3,1389.5900000000001
2015,2015-08-08,Norwich City vs Crystal Palace,H,3.0,0.394,0.183,10.0,22.87,False,-10.0,-22.87,1053.3,1366.72
2015,2015-08-08,Everton vs Watford,D,3.9,0.269,0.05,10.0,4.33,True,29.0,12.54,1082.3,1379.26
2015,2015-08-08,Chelsea vs Swansea City,H,11.0,0.7,6.704,10.0,50.0,False,-10.0,-50.0,1072.3,1329.26
2015,2015-08-08,Bournemouth vs Aston Villa,H,4.0,0.448,0.794,10.0,50.0,False,-10.0,-50.0,1062.3,1279.26
2015,2015-08-08,Everton vs Watford,H,5.5,0.647,2.558,10.0,50.0,False,-10.0,-50.0,1052.3,1229.26
2015,2015-08-09,Stoke City vs Liverpool,A,3.4,0.386,0.312,10.0,32.46,True,24.0,77.91,1076.3,1307.17
2015,2015-08-09,Arsenal vs West Ham United,D,6.0,0.172,0.034,10.0,1.72,False,-10.0,-1.72,1066.3,1305.45
2015,2015-08-09,Arsenal vs West Ham United,H,12.0,0.79,8.482,10.0,50.0,False,-10.0,-50.0,1056.3,1255.45
2015,2015-08-10,West Brom vs Manchester City,A,5.75,0.615,2.537,10.0,50.0,True,47.5,237.5,1103.8,1492.95
2015,2015-08-14,Aston Villa vs Manchester United,A,5.5,0.591,2.252,10.0,50.0,True,45.0,225.0,1148.8,1717.95
2015,2015-08-15,Watford vs West Brom,H,3.4,0.457,0.553,10.0,50.0,False,-10.0,-50.0,1138.8,1667.95
2015,2015-08-15,West Ham United vs Leicester City,H,3.4,0.412,0.401,10.0,41.8,False,-10.0,-41.8,1128.8,1626.15
2015,2015-08-15,West Ham United vs Leicester City,D,3.5,0.329,0.15,10.0,15.04,False,-10.0,-15.04,1118.8,1611.1100000000001
2015,2015-08-15,Watford vs West Brom,D,3.4,0.324,0.102,10.0,10.63,True,24.0,25.52,1142.8,1636.63
2015,2015-08-15,Tottenham vs Stoke City,H,5.0,0.585,1.925,10.0,50.0,False,-10.0,-50.0,1132.8,1586.63
2015,2015-08-15,Swansea City vs Newcastle United,H,4.33,0.557,1.411,10.0,50.0,True,33.3,166.5,1166.1,1753.13
2015,2015-08-15,Sunderland vs Norwich City,H,3.1,0.445,0.38,10.0,45.27,False,-10.0,-45.27,1156.1,1707.8600000000001
2015,2015-08-15,Southampton vs Everton,H,4.33,0.507,1.196,10.0,50.0,False,-10.0,-50.0,1146.1,1657.8600000000001
2015,2015-08-16,Manchester City vs Chelsea,H,3.75,0.648,1.43,10.0,50.0,True,27.5,137.5,1173.6,1795.3600000000001
2015,2015-08-16,Crystal Palace vs Arsenal,A,5.25,0.484,1.541,10.0,50.0,True,42.5,212.5,1216.1,2007.8600000000001
2015,2015-08-16,Crystal Palace vs Arsenal,D,3.9,0.286,0.114,10.0,9.82,False,-10.0,-9.82,1206.1,1998.04
2015,2015-08-17,Liverpool vs Bournemouth,H,8.0,0.676,4.411,10.0,50.0,True,70.0,350.0,1276.1,2348.04
2015,2015-08-22,Crystal Palace vs Aston Villa,D,3.6,0.303,0.092,10.0,8.83,False,-10.0,-8.83,1266.1,2339.21
2015,2015-08-22,Crystal Palace vs Aston Villa,H,4.75,0.501,1.381,10.0,50.0,True,37.5,187.5,1303.6,2526.71
2015,2015-08-22,Manchester United vs Newcastle United,H,10.0,0.771,6.714,10.0,50.0,False,-10.0,-50.0,1293.6,2476.71
2015,2015-08-22,Norwich City vs Stoke City,A,2.3,0.455,0.046,10.0,8.82,False,-10.0,-8.82,1283.6,2467.8900000000003
2015,2015-08-22,Sunderland vs Swansea City,A,4.0,0.434,0.736,10.0,50.0,False,-10.0,-50.0,1273.6,2417.8900000000003
2015,2015-08-22,West Ham United vs Bournemouth,D,3.4,0.312,0.06,10.0,6.24,False,-10.0,-6.24,1263.6,2411.65
2015,2015-08-22,West Ham United vs Bournemouth,H,3.2,0.413,0.322,10.0,36.56,False,-10.0,-36.56,1253.6,2375.09
