Season,Train,N_Bets,Hit_Rate,Flat_ROI,Kelly_ROI,Flat_PnL,Kelly_PnL
2015,"[2010, 2011, 2012, 2013, 2014]",474,0.4219409282700422,1.321455696202532,1.832190053580517,6263.700000000001,32040.79
2016,"[2011, 2012, 2013, 2014, 2015]",492,0.5040650406504065,2.4114024390243904,3.263967719170317,11864.1,59801.47
2017,"[2012, 2013, 2014, 2015, 2016]",513,0.47368421052631576,2.573703703703704,3.4437330774239987,13203.1,65310.57000000001
2018,"[2013, 2014, 2015, 2016, 2017]",506,0.48616600790513836,3.014584980237154,4.0894499799931685,15253.8,76753.20999999999
2019,"[2014, 2015, 2016, 2017, 2018]",480,0.4583333333333333,2.0540625,2.7702693592857828,9859.5,49312.899999999994
2020,"[2015, 2016, 2017, 2018, 2019]",483,0.4306418219461698,1.526894409937888,2.1420295827274276,7374.9,37841.93
2021,"[2016, 2017, 2018, 2019, 2020]",444,0.509009009009009,2.4061036036036043,3.1145130996236507,10683.100000000002,53195.51
2022,"[2017, 2018, 2019, 2020, 2021]",438,0.4863013698630137,1.9568493150684931,2.5089498430773176,8571.0,43008.92
2023,"[2018, 2019, 2020, 2021, 2022]",462,0.5108225108225108,2.336212121212121,3.109700487156674,10793.3,54105.43
2024,"[2019, 2020, 2021, 2022, 2023]",448,0.49776785714285715,1.8429910714285715,2.264353036368913,8256.6,39710.479999999996
