League,Season,N_Bets,Hit_Rate,Flat_ROI,Kelly_ROI,Flat_PnL
LaLiga,2015,44,0.5,-0.0595,-0.1497,-26.2
LaLiga,2016,29,0.4827586206896552,0.0059,-0.0048,1.7
LaLiga,2017,39,0.5641025641025641,0.1521,0.2084,59.3
LaLiga,2018,39,0.46153846153846156,-0.1474,-0.1475,-57.5
LaLiga,2019,29,0.4482758620689655,-0.1066,-0.059,-30.9
LaLiga,2020,34,0.5882352941176471,0.0153,0.0656,5.2
LaLiga,2021,41,0.5609756097560976,0.0141,-0.08,5.8
LaLiga,2022,23,0.5652173913043478,0.013,0.0752,3.0
LaLiga,2023,33,0.48484848484848486,0.0185,0.0731,6.1
LaLiga,2024,29,0.5172413793103449,0.0603,0.1048,17.5
Premier,2015,58,0.46551724137931033,-0.1247,-0.1018,-72.3
Premier,2016,21,0.5714285714285714,0.2457,0.2984,51.6
Premier,2017,43,0.3953488372093023,-0.1377,-0.0306,-59.2
Premier,2018,36,0.3055555555555556,-0.4319,-0.2233,-155.5
Premier,2019,42,0.42857142857142855,-0.2014,-0.1723,-84.6
Premier,2020,40,0.6,0.1393,0.1443,55.7
Premier,2021,27,0.5185185185185185,0.0404,-0.0308,10.9
Premier,2022,26,0.5384615384615384,0.0985,0.0153,25.6
Premier,2023,12,0.25,-0.605,-0.5334,-72.6
Premier,2024,30,0.4666666666666667,-0.0613,-0.2153,-18.4
Bundesliga,2015,28,0.39285714285714285,-0.2096,-0.153,-58.7
Bundesliga,2016,42,0.5952380952380952,0.28,0.3254,117.6
Bundesliga,2017,23,0.30434782608695654,-0.3443,-0.2052,-79.2
Bundesliga,2018,26,0.38461538461538464,-0.1465,-0.1995,-38.1
Bundesliga,2019,23,0.13043478260869565,-0.7422,-0.7384,-170.7
Bundesliga,2020,23,0.391304347826087,-0.1304,-0.1229,-30.0
Bundesliga,2021,19,0.47368421052631576,-0.0047,0.0575,-0.9
Bundesliga,2022,22,0.5909090909090909,0.1718,0.1724,37.8
Bundesliga,2023,21,0.38095238095238093,-0.2433,-0.2886,-51.1
Bundesliga,2024,17,0.4117647058823529,-0.1141,-0.1318,-19.4
Bundesliga,2025,14,0.42857142857142855,-0.195,-0.3512,-27.3
