League,Season,N_Bets,Hit_Rate,Flat_ROI,Kelly_ROI,Flat_PnL
LaLiga,2019,173,0.26011560693641617,-0.0745,-0.0038,-128.8
LaLiga,2020,204,0.27941176470588236,-0.0802,-0.1116,-163.6
LaLiga,2021,182,0.3021978021978022,-0.0304,-0.1376,-55.4
LaLiga,2022,179,0.2569832402234637,-0.0408,0.0491,-73.1
LaLiga,2023,187,0.22459893048128343,-0.2246,-0.2295,-420.0
LaLiga,2024,202,0.2376237623762376,-0.1367,-0.1487,-276.1
Premier,2019,144,0.3472222222222222,0.194,0.0659,279.3
Premier,2020,168,0.30357142857142855,-0.0898,-0.0354,-150.9
Premier,2021,152,0.25,-0.1949,-0.1152,-296.2
Premier,2022,141,0.2978723404255319,0.0765,0.0425,107.9
Premier,2023,151,0.26490066225165565,-0.1166,-0.138,-176.0
Premier,2024,129,0.26356589147286824,-0.2203,-0.2611,-284.2
Bundesliga,2019,198,0.19696969696969696,-0.0625,-0.0539,-123.8
Bundesliga,2020,186,0.25268817204301075,0.2619,0.4658,487.1
Bundesliga,2021,190,0.20526315789473684,-0.1287,-0.0485,-244.6
Bundesliga,2022,174,0.2413793103448276,0.1599,0.3134,278.2
Bundesliga,2023,182,0.1978021978021978,-0.0763,-0.1177,-138.9
Bundesliga,2024,155,0.15483870967741936,-0.3223,-0.4162,-499.6
Bundesliga,2025,106,0.18867924528301888,-0.1978,-0.3258,-209.7
